	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22988	14	101	92	4	5.024600e+01	7.632000e-02	5.052000e+10
22989	14	101	92	5	5.033600e+01	9.617000e-03	6.343000e+09
22990	14	101	92	6	5.359500e+01	4.329000e-01	2.539000e+11
22991	14	101	92	7	5.359600e+01	3.841000e-02	2.252000e+10
22992	14	101	92	8	5.599000e+01	1.099000e-02	5.915000e+09
22993	14	101	92	9	5.670000e+01	1.705000e-01	8.979000e+10
22994	14	101	92	10	5.682900e+01	2.458000e-02	1.289000e+10
22995	14	101	93	3	4.997300e+01	2.034000e-01	1.361000e+11
22996	14	101	93	4	5.003500e+01	3.694000e-01	2.467000e+11
22997	14	101	93	5	5.012400e+01	5.733000e-01	3.814000e+11
22998	14	101	93	6	5.335500e+01	2.951000e-03	1.747000e+09
22999	14	101	93	7	5.335600e+01	1.023000e-03	6.056000e+08
23000	14	101	93	8	5.572800e+01	3.642000e-04	1.978000e+08
23001	14	101	93	9	5.643100e+01	1.051000e-03	5.589000e+08
23002	14	101	93	10	5.655900e+01	3.917000e-04	2.075000e+08
23003	14	101	94	3	5.006700e+01	6.002000e-05	3.980000e+07
23004	14	101	94	4	5.012900e+01	2.357000e-04	1.559000e+08
23005	14	101	94	5	5.021900e+01	1.394000e-04	9.185000e+07
23006	14	101	94	6	5.346200e+01	9.445000e-03	5.534000e+09
23007	14	101	94	7	5.346300e+01	1.257000e-01	7.368000e+10
23008	14	101	94	8	5.584500e+01	1.171000e-01	6.297000e+10
23009	14	101	94	9	5.655200e+01	1.603000e-02	8.435000e+09
23010	14	101	94	10	5.668000e+01	1.681000e-01	8.808000e+10
23011	14	101	95	3	4.906300e+01	3.205000e-04	2.223000e+08
23012	14	101	95	4	4.912300e+01	3.396000e-04	2.349000e+08
23013	14	101	95	5	4.920900e+01	2.254000e-05	1.554000e+07
23014	14	101	95	6	5.231900e+01	3.581000e-04	2.201000e+08
23015	14	101	95	7	5.232000e+01	2.555000e-02	1.570000e+10
23016	14	101	95	8	5.459900e+01	9.098000e-01	5.140000e+11
23017	14	101	95	9	5.527400e+01	8.339000e-04	4.615000e+08
23018	14	101	95	10	5.539600e+01	1.113000e-01	6.133000e+10
23019	14	101	96	4	4.657600e+01	1.715000e-05	1.313000e+07
23020	14	101	96	6	4.943900e+01	1.564000e-01	1.070000e+11
23021	14	101	96	7	4.944000e+01	1.527000e-02	1.045000e+10
23022	14	101	96	8	5.147100e+01	1.551000e-02	9.796000e+09
23023	14	101	96	9	5.207000e+01	1.281000e+00	7.936000e+11
23024	14	101	96	10	5.217800e+01	2.557000e-01	1.578000e+11
23025	14	101	97	3	-4.600000e+01	1.226000e-04	9.659000e+07
23026	14	101	97	5	-4.612500e+01	1.054000e-05	8.258000e+06
23027	14	101	97	6	-4.919700e+01	1.246000e-03	8.585000e+08
23028	14	101	97	7	-4.919600e+01	2.372000e-02	1.634000e+10
23029	14	101	97	8	-5.124100e+01	4.187000e-01	2.659000e+11
23030	14	101	97	9	-5.202100e+01	1.816000e-01	1.119000e+11
