	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3850	14	101	5	152	2	1	2	4	1.85656006e+03	4.01000000e+02	1s1.2s1.2p3.2P_3/2#2
3851	14	101	5	153	2	0	2	2	1.85776001e+03	4.01000000e+02	1s1.2s1.2p3.2S_1/2
3852	14	101	5	154	2	1	4	6	1.86476001e+03	4.01000000e+02	1s1.2p4.4P_5/2
3853	14	101	5	155	2	1	4	4	1.86533997e+03	4.01000000e+02	1s1.2p4.4P_3/2
3854	14	101	5	156	2	1	4	2	1.86566003e+03	4.01000000e+02	1s1.2p4.4P_1/2
3855	14	101	5	157	2	2	2	4	1.87580005e+03	4.01000000e+02	1s1.2p4.2D_3/2
3856	14	101	5	158	2	2	2	6	1.87588000e+03	4.01000000e+02	1s1.2p4.2D_5/2
3857	14	101	5	159	2	1	2	4	1.87872998e+03	4.01000000e+02	1s1.2p4.2P_3/2
3858	14	101	5	160	2	1	2	2	1.87931006e+03	4.01000000e+02	1s1.2p4.2P_1/2
3859	14	101	5	161	2	0	2	2	1.89056006e+03	4.01000000e+02	1s1.2p4.2S_1/2
3860	14	101	5	163	2	0	2	1	4.01000000e+02	4.01000000e+02	continuum
3861	14	101	5	126	12	0	1	1	3.98214996e+02	4.01000000e+02	superlevel
3862	14	101	5	162	1	0	0	1	1.91548999e+03	-1.51448999e+03	superlevel_[K]
